name,comments,count
3DLeeLee,Get that second opinion baby Don't listen to that nurse I have stage 4: cervical cancer and I'm doing physical therapy because my Tivdak treatment was too strong and weakened my legs and had me walking like Daffy Duck due to neuropathy of my toes I know mine is a different situation and I'm terrified of everything cancerous as well but you got this I'm seeing a therapist journaling and called a cancer support group Friend For Life to talk about my cancer My friends and family isn't any help in this dept You will be surprised at who have gone through what and some of the same things as well and can give you great advice about different organizations that can help you I've heard of the operation on the spine as well DONT NOBODY WANT TO BE PARALYZED If you're able go ahead and start doing little exercises around your house or at the gym or get you some physical therapy to kick cancers ***You have to get in front of it If you're religious get those prayers going but that's not for everyone I feel what you are going through and rjust yesterday I felt bat shit crazy Im mean as hell Can't gain my weight back I have back pain The pharmacy plays with my meds but i still struggle to make it through Its a tough lonely horrible road I lost my father to prostate cancer 2 yrs ago That man was my superhero Oooooowwwee me and cancer go way back I AM FIGHTING AND I WANT YOU TO FIGHT YOU GOT THIS ♥️,1416
FrogAnToad,I had cancer throughout skeleton including inside cervical vertebrae. Two years later im still doing fine. Dont trust yr nurse. Even if it were true the way she told you is inexcusable.,195
pthrizzle,I’m so sorry. Sending prayers up and hopeful thoughts your way.,73
ReferenceSufficient,"In US, Nurses aren't suppose to give you test results, diagnosis, It's the Doctor that will inform you. Call the doctor and tell them what nurse told you.What country do you live in?",194
mmmonicapb,Im so sorry you received this tough news today. Go look for a second and a third opinion if necessary. So many of us internet strangers root for you. Feel free to DM if you need to talk.,196
This-Army6223,Okay first your nurse never should have said that. My cousin has lung cancer that traveled to her spine and fractured vertebrae. She was able to have radiation and surgery to stabilize the area and she is NOT paralyzed . Those lesions are now stable. There is no way for someone to know what she told you for sure. I'm sorry you're on this path. I am dealing with bone mets as well .,398
No-Count-2035,"Hi OP Im from sweden and here we also have our own specialist nurse that we talk to frequently. But I have to point out that sometimes my nurse could say things that turned out differently so I think the best thing is always to talk to your oncologist. I think its very easy for miscommunication and ultimatley, our nurses arent the experts on our cancer. They’re knowledgeable and have experience sure, but that doesnt make them experts like the oncologists. Also, I’ve had cancer in my spine, which even caused a fracture and compression (basically the entire vertebra is ruined and my spine is instable). But nobody said anything about getting paralyzed. Sounds so strange your nurse would just call you and tell you over the phone. Also, I believe surgery usually is an option for spine mets, especially to prevent paralysis. I hope you get more clear answers soon!",894
merce007,"I'm in a similar situation, I had great success with my hysterectomy in the middle of April, they got all of the cancer in the pelvis and abdomen and the lesions on my liver were so small they couldn't find them to ablate them. I had a catscan at the end of last month that indicated new liver and lung mets, and at my next follow up my Oncologist suggested she call an ambulance and get me to the hospital because I was having severe pain in my back, abdomen, pelvis and groin. I declined and drove to the hospital because it's literally right behind her office. I had a catscan guided biopsy for my abdomen where they found a 10cm tumor that was entirely new. When the MRI came back on my spine it showed a 3cm tumor with extensions into the soft tissue around L2. They contacted radiology and scheduled me for 5 treatments that ended on Thursday. The pain is a little better (being on the radiation table was the worst). And I'm told the tumor is dying. So the 10cm tumor in my abdomen was impinging upon my ureters coming from both kidneys, and yesterday they put Stents in to open them up. My back pain has improved. My advice would be to get a second opinion and if you're in the NE/SE Jersey/NY region reach out and I'll get you the info for my care team if you're interested.",1335
Party_Author_9337,"Young lung cancer initiative is on Instagram, TikTok and I believe Facebook. A lot of the statistics you can Google are geared toward older adults with lung cancer. So don’t or stop doing that. She will probably have genetic testing to determine her best treatment course. It took about a month for my results to come back. I had no targetable mutations. I was stage two so one lobe was removed. I did four rounds of chemo and am doing immunotherapy for a year I have seen Women in their thirties who had stage four lung cancer show no evidence of disease after treatment. So there is hope",645
starkiller10707,So what’s state 3 like in the running of how serious it is for her? She’s like 22 btw,95
Pretty-Narwhal-3313,How are you doing with immunotherapy? Any problems with autoimmune attacks?,85
mistermoondog,Hi Star—Sorry the two of you are stuck with this—cancer has been a fact of life in my family for 50 years. You need tons of patience about this because it takes considerable time for the medical team to understand what they are up against and how your Gf’s biology responds to initial treatments. There are support groups in your area that can be of a great benefit to preserving your happiness.,419
starkiller10707,Support groups?,25
HellaYeah650,"I'm so sorry first, 22 is super young but we can help. Please call the GO2 For Lung Cancer we have The Epidemiology of Young Lung Cancer (EoYLC) study for those under the age of 50. You may call our helpline 1-800-298-2436, we can help with anything lung cancer. https://go2.org/research/our-research-studies/epidemiology-of-young-lung-cancer/",357
Patchouli061017,Hi Young lung cancer Facebook group has many patients and loved ones diagnosed with lung cancer under 50 . It is very helpful. Please make sure that they are testing your girlfriend for biomarkers,207
jj0220220,Hi! Fellow lung cancer fighter here. I was diagnosed at 37-stage four. Sorry you guys have to navigate this at such a young age. I’ve been on my first line treatment for over 2.5 years. Please make sure she gets biomarker testing. It will tell her what type of treatment works best for her. There are a lot more treatments coming out for lung cancer and a lot more options than there use to be a few years ago.,421
onions-make-me-cry,"I'm gonna hope she has Lung Carcinoid, low grade. That would be a ""good"" type (and what I had). Lung cancer as a category is too variable for us to say anything. The good news is she's very young so her body is likely in a strong position to fight this.",277
Informal-Cod6895,"Hi u/Top_Succotash9573, I am so very sorry your family is going through this. My mom was diagnosed with S4 lung cancer a few years ago and I was in a very similar place with it all. She is the most health-conscious person I know, never smoked, meditates daily, and is very in tune with her body - this took us all for a huge roller coaster ride. What advice I can offer is to be gentle with yourself (not ""strong"") during this time of grieving. Try taking the perspective of ""we are taking things one day at a time"" rather than trying to force acceptance of the situation. Acceptance will develop gradually in its own, subtle way. Do something for yourself each day, it is important to take care of your own health (slow walk around the park, cup of tea, resting in the sun). Reach out to your community (like you are doing now!) - it is shocking how many people have been touched by cancer and will show up to support you. The earliest days are the scariest because you feel in utter limbo waiting for the specific diagnosis and treatment plans. For us, this took around 6 months to get sorted. During this time, I just kept repeating to myself ""there is no better time or place in the world to have cancer."" The interventions have come SUCH a long way! We are over 4 years out from her initial diagnosis and she has had no new growth for the past 2 years. It's okay to not be okay, but have faith in knowing the only constant thing in this world is change <3",1484
Top_Succotash9573,"Thank you for your kind words. As you said.. we're all taking it one day at a time. We are lucky to be very near a large cancer hospital in London and he is receiving treatment and amazing care from his team of drs and nurses. I'm inspired by them and their outlook on it all. Hopefull, but not out of the woods just yet. 4 & 2 is amazing! Still not ideal but something for you all to be happy and proud for. I'm cheering us all on, and thankful for all of the support. ❤️🙏",497
Recording-Dismal,"I’m in exactly the same position with my mum. Also not religious. It’s horrible having all these feelings and emotions, while also trying to be strong for them. I can’t really help just no you aren’t alone going through this. My mum is my best friend and I’ll be lost without her.",290
ran44445,"Sending you and your dad warm thoughts. My mom was diagnosed with Stage 4 Lung cancer in february. She had not smoked in 46 years and at age 85 was the picture of health. We were all shocked. It is an emotional rollercoaster with the first month being especially bad. My mom was very depressed. I had a panic attack with my heart rate skyrocketing to 167. Fast forward to now, mom is in a clinical trial and how interesting it was that once she started treatment her emotional state got much better as she is doing what she can to stabilize while it is not curable. Take care of yourself, and enjoy every minute you can with your dad. These are rough waters to navigate. The people in this forum are kind and very wise. I often get nuggets of something that helps me. One very wise person in this forum said “ they are living with cancer vs focusing on dying from cancer.” I think of those words daily. Hoping for good days ahead together for you both.",964
Top_Succotash9573,"Thank you.. my dad's 67 so while a bit younger still no less of a shock. While like your mother there is no chance of curing it, we are hopefull the treatment will have some positive effects. 🙏❤️",219
Recording-Dismal,"I’m in exactly the same position with my mum. Also not religious. It’s horrible having all these feelings and emotions, while also trying to be strong for them. I can’t really help just no you aren’t alone going through this. My mum is my best friend and I’ll be lost without her.",290
Infamous-Crazy-4672,"Sorry to hear that; à year ago I was also hit by Cancer with a stage 4 lung cancer. I made peace with myself and came to the conclusion that I had only two choices; get depressed and scared and accept my situation and die or gather all my might and energy and fight this. A year later after immunotherapy chemotherapy à surgery and some rehab I am almost ready to go back to work. Was a hell of a ride but the key was to believe that I can beat Cancer with the help and support of modern science and all of the medical team involved. I see this as a second chance on life, but you have to fight for it. Get some support talk to people that have been through it you will see that it s doable. I wish you and your dad the best and for one I believe that with the right mind set he will make it. By the way I am 64 so imagine at 45 he is much stronger than I am to fight this. Good luck and keep the faith",912
Top_Succotash9573,"Im 45, he's 67....thanks for your comment. 🙏",54
Infinite_Purple1123,"Right now you have to take care of yourself. And enjoy whatever time you have with him. I lost my dad last year to aggressive lung cancer. He did smoke but he has quit 6 years before he got sick, and it just didn't matter. The one thing I wish more than anything is that more of the family had shared the caregiving with me so I could have been his daughter more and his caregiver less. As for what's next, I can't say anything definitively, but here's what I believe: The first law of thermodynamics is that energy can neither be created, nor can it be destroyed. The soul is often described as the spark. A spark is energy. The human soul is energy. When our loved ones die, it's not their soul dying. It's the vessel that carried that spark breaking down. So their energy WILL carry on. It will cycle again. Your loved one isn't ending. The spark that made them them is just finding a new purpose. Because that energy can never destroyed. The spark that makes your dad who he is will make its way back into the world. What form it takes is unknown. But his energy is going to get to see the world in a way the living can only dream. Of. Not the end of the adventure. Just the next leg of the journey. I dunno if that helps, but it's given me solace in losing both my mom and dad. The hardest part of accepting that is knowing that the next page if our loved one's story doesn't include us.",1465
Sandz86_,"I completely understand what you’re feeling. My mum was diagnosed with stage 4 lung cancer last year; she turns 67 this year. I mourn our old life more than anything which is natural I suppose. My mum was on targeted chemotherapy treatment but she’s had a new growth in her lower back which means a change of treatment to two varieties of chemo. I was hopefully she would last at least a couple of years on the targeted treatment before progression but what’s meant to be will be. The most frustrating part of this process is not knowing what is going to happen next. I keep telling myself I should be grateful she’s still here, seeing as when she was diagnosed I didn’t think she’d make it to the summer of last year let alone where we are. As for what happens after this existence; I can’t say I have a definitive belief on that but what I can say is my mum and I have conversations about death, not in a morbid way but just to talk about it. She always says if it’s her time to go all she asks is that she doesn’t suffer. As another commenter has written; energy cannot be destroyed, a part of our loved ones stays alive within us, that little piece of them and the love we felt for them is what we carry forward with us when they’re gone. It’s hard but all I can say to you is just try and take each day at a time, the more you mentally spiral the less you’ll be able to be fully present which is what counts the most right now x",1443
Patchouli061017,I’m so sorry this is so hard. Please consider joining this Facebook group it’s very supportive for young lung cancer patients https://www.facebook.com/share/USc4CxnXmHLnB2we/?mibextid=K35XfP Also check out YLCI.org,229
missmypets,"No one is promised a tomorrow. London, England or London, Ontario, Canada? If you're in the UK you will find support at a Maggie's Centre. Also the Roy Castle Foundation or their patient/caregiver to patient/caregiver lung cancer page. https://www.maggies.org/our-centres/ https://healthunlocked.com/lungcancer",332
AngelsMessenger,"Hi there, I am sorry you are losing your loved one. It sucks as I lost my sister in 2022 to breast cancer. I am a religious person and a Christian. It’s okay if some people don’t agree with me, but what comforted me when my sister passed away was knowing she was going into a deep “sleep.” The Bible calls death a sleep. On that day their thoughts perish, and their breath “spirit” goes back to the life-giver God, and his body returns to the dust of the ground. I believe my sister is sleeping and awaiting the resurrection. Genesis 3:19. So this comforts me in that she is not seeing all the pain going on in our world, but sleeping in her grave. I am not sure if I have helped, but I hope you will find peace in your loved ones' passing. Again, I am deeply sorry. ❤️🌺",780
Top_Succotash9573,Hes still alive...and thanks. Sending religious quotes to a person who isnt religious is really not the way.,125
Top_Succotash9573,Wow.. thank you so much for makibg time to write this lovely comment!,79
drainbance,I think writing them letters that they can read in the future would be highly appreciated by them,107
jackhandy2B,"Came here to say exactly this. Meanwhile, just love them now and answer questions honestly. Best you can do, really.",126
Low-Future9354,This does sounds like a great idea. I feel like I'd be a mess if I tried to say a real goodbye in person!,115
GeneralTonight2401,Even a video to add with it would be nice,51
RenzelW,My wife is currently dying of brain cancer with no window of time remaining outside of “probably not gonna see 2025.” She’s elected to record videos for the little ones in the family to explain who she was and what her life was like and her illness and what happened. She’s left strict instructions not to give it to them until they’re old enough to understand and she said that the last time she says goodbye she’s just going to tell them she’ll see them later. (We’re religious so “see you later” to her is a sneaky way of saying she can see them in heaven),583
Low-Future9354,Videos are honestly a great idea. I didn't even think of videos. They could rewatch it as often as they wanted. Thanks so much for this idea. Thoughts are with you and your wife also 💚,194
zaratheclown,"this is absolutely beautiful! your wife sounds like a gem of a person i’ve heard of someone who did this with their nieces but in addition, they gave some jewellery so that they can wear it when they ‘see them later’",233
PetalumaDr,"Maybe an appropriate modification of Ira Byock’s “5 things” (which started as 4). I l love you, thank you for being part of my life, I forgive you for anything you may regret, please forgive me for anything I did which may have hurt you, I believe in you. Again it depends on the relationship and age but I find those 5 things to be an awesome start.",360
CarinaConstellation,Maybe give them a gift of a framed photo of you and them and a handwritten note so they can keep it. That's what my step mom did when she died.,153
cornteahasnoname,"My first niece was born a month ago. I don’t know for sure how long I have left, but she will likely not remember me. I’ve thought a lot about how to tell her how much I love her and what she means to me, even though she’ll never know me. My brother and SIL have been building her a little library that they hope to add to over the years, so I’ve been buying some of my favorite books and writing notes to her on the inside cover. Sometimes they are super heartfelt and serious, and sometimes they are silly and fun. Sometimes they are about how that book made me feel when I read it, and asking her what she thinks about it. I know it’s probably harder for you to say goodbye to older children who already know you, but maybe a little something that means a lot to you (like books do to me) with a handwritten note that they can always look back on would be nice. I wish you peace and comfort in your days ahead ❤️",925
stnrgrl10,"I don't have any advice, but I'm praying for you",58
tamaith,"Cards and letters is a great idea. Another idea is recording videos, putting them on youtube in addition to keeping a hard copy to give the parents. If you don't know what to say read a book (for bedtime) or something with a personal message of what you want to say.An inexpensive tablet would be perfect to record and store the videos, upload them to keep them safe in the future.",391
Basic_Government_730,"I was around that age when my sister passed from leukemia and we didn’t really have proper goodbyes but she left a voicemail of her singing me happy birthday (a few days before she died) and I listened to it all the time growing up. It got deleted when I moved out and it is gutting me even typing about it now. I was a weird kid so once I knew what she had I wanted to know everything I could about it, so I knew she’d be dying. I found having clear and objective information about the illness really helped me but that could just be the autism lol.",560
fox-lover,Make them videos so they can hear your voice.,55
PyewacketPonsonby,I have stage 4 cancer that is technically incurable and were I in this situation I wouldn't necessarily bring up the topic and I would leave it to the parents to deal with it after I am gone. However if they asked me about it I would give a pleasant variation of the truth - something that a child or young person could easily process or digest. Something hopeful and loving.,392
kiwi1327,I don’t have advice but just wanted to say that I’m so very sorry that you have to even ask this question and that you’re going through this.,151
erinmarie777,"I think it’s important to be honest with them. We need to do more in this culture to make dying and death a more normal part of living and a more normal part of our conversations. But maybe also explain that it’s rare for someone to die young, explaining most people are old when they die, so they will probably live until they are very old. I think I would want to give them a little stuffed animal to keep, and make them a video or write a letter for when they are older.",484
Plastic_Leg_3812,I agree with writing them a little message along with any photos you may have of yourself with them. They will cherish it. I mostly just wanted to say you sound like a wonderful person for caring so much about their feelings. I’m so sorry you are going through this.,276
HistoricalFishing2,"Video cards , letters, maybe even a little teddy bear from build a bear and record a message for them to play back whenever they’d like? My thoughts are with you! 🙏🏼",175
TrustedNotBelieved,"You have to do the audio and it's played in your funeral. ""Hey, it's dark in here. Hello! Who put me in here, was it you."" There are few funny vid in youtube. 😜",177
