name_cancarTH_se,Key_symptoms_TH,Values_symptoms_TH
มะเร็งต่อมหมวกไต,อัณฑะโตผิดปกติ,"['อัณฑะโตผิดปกติ', 'ไข่โตผิดปกติ', 'ไข่ผิดปกติ', 'อัณฑะผิดปกติ', 'อัณฑะ']"
มะเร็งต่อมน้ำลาย,แผลเรื้อรัง,"['แผลเรื้อรัง', 'เป็นแผล', 'แผล']"
มะเร็งถุงน้ำรังไข่,ไฝหรือปานเปลี่ยนแปลง,"['ไฝหรือปานเปลี่ยนแปลง', 'ไฝเปลี่ยนแปลง', 'ปานเปลี่ยนแปลง']"
มะเร็งกล่องเสียง,มีตุ่มหรือก้อนใต้ผิวหนัง,"['มีตุ่มหรือก้อนใต้ผิวหนัง', 'มีตุ่มใต้ผิวหนัง', 'มีก้อนใต้ผิวหนัง', 'ก้อน', 'ตุ่ม', 'มีก้อน', 'มีตุ่ม', 'ตื่ง', 'มีตื่ง']"
มะเร็งไขกระดูก,ปวดศีรษะ,"['ปวดศีรษะ', 'ปวดหัว']"
มะเร็งเม็ดเลือด,มองเห็นภาพผิดปกติ,"['มองเห็นภาพผิดปกติ', 'มองไม่เห็น']"
,ชัก,['ชัก']
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
