,name,comments,ยอดไลค์,จำนวนการตอบกลับ,จำนวนคำ
79,Woody Der Arzt,เคยได้รู้ว่ามีการเยียวยา คนไข้และญาติได้เงินเมื่อฟ้องร้องเอาผิด โดยไม่ต้องรอการตัดสิน ....นี่เป็นสาเหตุหนึ่งรึเปล่า???,6,0,27
0,Anan Sriniworn,มันเป็นสิทธิของ คนไข้อยู่แล้วหนะครับที่จะสงสัยได้ ไม่งั้น เกิดเคสกลับด้านกัน จะทำไง หนะครับคนไข้หนะครับ หรือว่าหมอในโลกใบนี้ทุกคนรักษาคนไข้ไม่เคยพลาด ใจเขาใจเรา ไม่ว่าคนเป็นหมอจะไม่ป่วยหนะครับ แล้วหมอรักษาหมอผิด หมอจะโกรธไหมครับ หรือสบายๆ เพื่อนร่วมอาช... ดูเพิ่มเติม,5,0,87
10,Boyd Montri,แล้ว รพ.ก็ให้ถือกระเช้าไปเยี่ยมคนไข้ที่บ้าน...,4,0,14
21,Kadear Sim,ปลงละ อยุ่รพช.เจอบ่อย คนไหนพูดและอธิบายแล้วจะโน้ตละเอียดๆ คิดมันทุกวันแค่อยุ่วันนี้ให้รอดก็พอ บางครั้งต้องเซฟร่างกายจิตใจ ไว้ดูแลคนที่ควรดูแล ถ้าจะถามนะอยากถามว่าเรื่องทั้งหมดเกิดจากใคร ก็ทำตัวเองกันทั้งนั้น,4,0,61
90,จิรโรจน์ แก้วจันทร์พงษ์,ศาลไม่บ้าจี้ตามหรอกครับแล้ว ร.พ.ก็ต้องให้ผู้เกี่ยวข้อง เซ็นต์เอกสารให้ความยินยอม ก่อนทำการฝ่าตัดอยู่แล้ว (ทางกฎหมายการให้ความยินยอม ถ้าไม่กับขัดศีลธรรม และความสงบเรียบร้อยไม่ถือว่าละเมิด)... ดูเพิ่มเติม,3,0,46
56,Singhacom Praluckwong,เรื่องพยาบาลโดนตบ มีคนต่อยหมอนี้ยังหดหู่ไม่พออีกเหรอค่ะ เราอยากให้มีส่วนกลางที่ไกล่เกลี่ยเรื่องนี้ หรือชดเชยค่าเสียหายที่เกิดจากการรักษาของแพทย์ต่างหาก,3,1,37
110,เชาวรัช สมแก้ว,สงสัยญาติอยากรวยทางลัด ฟ้องคืนเอาให้หนักๆค่ะ จะได้ไม่กล้าไปทำแบบนี้ที่ไหนอีก อ่านแล้วอารมณ์ขึ้นเลย,3,0,29
22,Kiri Chonly,ตลก คนที่ฟ้อง ไงคุณก็ไม่น่าชนะ เพราะ ก่อนผ่า เขาจะให้เซ็นยินยอม ฟองไงคุณก็ไม่น่าจะได้สักแดง เป็นกำลังใจให้เจ้าหน้าที่โรงพยาบาลดีๆ ทุกคนค่ะ,3,0,44
94,ณัชชานนต์ พิชญะศักดินนท์,เข้าใจว่าหมอต้องมีจรรยาบรรณจึงต้องรักษาให้ถึงที่สุดแต่ทำไมกรณีแบบนี้เราอยากให้หมอไม่ต้องคิดถึงจรรยาบรรณจัง รักษาไปก็มีแต่ซวย,2,0,30
62,Supansa Civilize,เรื่องมันเศร้า ขอเล่าเข้มๆนะคะอาจารย์,2,0,10
104,ศุกร์ศัลย์ - Happy Friday Knight,เป็นกำลังใจให้คุณหมอทุกท่านค่ะ,2,0,6
55,Seksak Pholboon,จริงก็ไม่เข้าใจนะ ถ้าญาติยินยอมให้ตัดขาแล้วต้องเซ็นเอกสารหรือป่าวถ้าเซ็นยินยอมแล้วฟองได้หรอ ? ตงลงที่เขียนมานี่เรื่องจริงหรือ Drama?แล้วเขียนขึ้นมาเพื่อ?,2,2,45
114,แมวดำทำBusiness,มีลูกหลานให้ทำอาชีพอื่นดีกว่าครับ,2,0,8
49,Raweewan Nutpramoon,ยินยอมเเล้วก็ฟ้องได้  นี่เเหละความเด็ด,2,0,8
87,จิ เต,ทำงานแทบตาย ช่วยแทบตาย สุดท้ายโดนฟ้อง ripสาธารณสุขไทย,2,0,13
58,Siriphat Chamnanvetch,เป็นเรื่องเศร้าบุคลากรทุกคนพยายามรักษาคนไข้อย่างถึงที่สุด บางอย่างต้องทำก็เพราะความจำเป็นเพื่อรักษาชีวิต สุดท้ายกลับต้องมาโดนร้องเรียนคนไข้ใจร้ายจัง อยากได้เงินชดเชยก็ทำประกันกันเองสิคะ มาร้องเอาจากหมอทำไม,2,0,45
16,Daphne Peaceclark,หมอพื้นบ้านรักษาไม่หาย แถมอาการหนักกว่าเก่า..ก็ไม่ไปเอาเรื่องเนอะ ..  กับหมอรพ.ที่รักษาจนหาย ญาติๆก็หัวหมอหน้าเงิน..ไปร้องเรียนจะเอาเงินหมออีก สันดานทุเรศมาก..พวกเนรคุณ,2,0,49
27,Mattanapim Rose,แบบนี้ฟ้องกลับได้ไหมคะ,0,0,5
84,กังสดาล อยู่เย็น,หมอชอบเอาเรื่องจริงมาเล่าเล่นๆนะครับ,0,0,10
92,ชาลี คำสุวรรณ,สู้ๆค่ะคุณหมอ อย่าท้อแท้นะคะ,0,0,8
91,ชาดำเย็น บีบมะนาวด้วยนะ,ทีหลังเป็นไรมาให้เอายาหม่องทาแผลเอา เดี๋ยวก็หาย อย่าเอามาหาหมอ หมอทำงานเหนื่อยแล้ว,0,0,23
11,Cawaii Ammy,ปัญหาอยู่ที่ ม.41 ครับรายละเอียด ถ้าคุยในนี้จะดราม่าเพราะคนรู้และเข้าใจรายละเอียดน้อย... ดูเพิ่มเติม,0,0,27
89,จิรายุทธ แซ่หลุก พ่อน้องโอก้า,ขอเป็นกำลังใจให้คุณหมอและบุคลากรสาธารณสุขทุกท่านครับขอบคุณครับ,0,0,12
88,จิตรา แสงจันทร์,ปล่อยให้.......เป็นกำลังใจให้บุคลากรสาธารณสุขทุกท่านค่ะ,0,0,10
13,Cher New Chapter,เป็นหมออย่างเดียวไม่ได้ ต้องเป็นทนายด้วย,0,0,11
86,จรินทร ยิ่งวรากร,ปล่อยให้ตายไม่ต้องรักษา,0,0,5
85,คุณพ่อชีวิต คุณแม่สุวรรณีครอบครอบโชคดี,ขอเป็นกำลังใจให้คุณหมอและบุคลากรทางการแพทย์ทุกท่านค่ะ,0,0,10
83,Zaza Ladyzab,เป็นกำลังใจให้บุคลากรทางการแพทย์,0,0,5
9,Bow Tangchitnob,เรื่องแต่งที่มาจากเคล้าโคลงเรื่องจริง..,0,0,8
14,Chirapol Chowchuen,อ่านแล้วหดหู่จังเลยค่ะ  เรื่องจริงที่เป็นเรื่องเล่า,0,3,11
81,Ya Thiptanwa,พอออกจากโรงพยาบาลก็คงมีมาบิ้วแหละค่ะ แย่อะแบบนี้ แพทย์ก็ทำงานเหนื่อยมากๆแล้ว ยังต้องมาเสัยกำลังใจอีก,0,0,30
80,Ya Simasinha,Thanus Jirakunwattana อ่านแล้วโมโห,0,0,7
15,Chubbynat Sirinat,คนไข้หัวหมอสิน่ะ แต่หมอไม่ได้ทำอะไรผิด อธิบายตามหลักการได้อยู่แล้ว,0,0,17
78,Wiwit Mitarnun,ใบยินยอมสำคัญมาก Pattaraporn Homsong Tippayaporn Suksawad,0,0,12
77,Waraporn Tongpan,อ่านแล้วเศร้าคะ,0,0,4
76,Wanmai Alisa,เป็นกำลังใจให้คุณหมอนะครับ​.. สู้​ ๆ​ ,0,0,11
75,Udom Shukul,อย่างนี้เรียกว่ามิจฉาชีพได้ไหม,0,0,6
93,ซากุระ ซามูไร,เป็นกำลังใจให้หมอค่ะ,0,0,5
7,Ball Puwasit,เหนื่อยแทน,0,0,2
73,Tipparat Maraya,ขออธิบายตรงนี้นะคะ ว่าเราไม่ได้กล่าวถึงเคสหรือกรณีนี้  เราพูดถึงภาพรวมเกี่ยวกับปัญหาที่เกิดจากการได้รับบริการทางการแพทย์ หรือแม้เป็นกรณีที่แพทย์ได้รับความเสียหายจากการถูกฟ้องร้องโดยญาติของผู้ป่วยหรือตัวผู้ป่วยเองปล.แนบลิ้งค์ของCilpให้ดูนะคะ จะได้เข้าใ... ดูเพิ่มเติม,0,0,64
96,ประพนธ์ โชควิวัฒนวนิช,ปักก,0,0,2
2,Anue Rathana,ทีมคุณหมอ,0,0,2
3,Aor Chira Anya,ปล่อยให้มันตายเหอะครับ!!,0,0,7
113,แทน รับฝาก,ชาวนากับงูเห่า,0,0,3
112,เพ็ญประภา เิกิดศรีพันธ์,ชูเกียรติ จุฑาทิพย์,0,0,5
111,เปี๊ยก ชิงโค,"""การศึกษา""",0,0,3
4,Arthitaya Chalongchaiyasit,Siriporn Puengboon,0,1,3
5,Athicha Sairot,Ekkarin Sritrakul สู้ๆทำประกันโดนฟ้องไว้สุดๆ,0,0,13
108,อาหมวยคิตตี้ กับ อาตี๋คริสตัล,Alec Chaisomboon,0,1,3
107,สุริยา สุวรรณศิลป์,เรื่องจริง,0,0,1
106,สาริกา เลี้ยงจำปา,ได้แต่คิดแล้วก็สงสัย~เป็นกำลังใจให้นะคะ,0,0,10
105,ศุภชัย นิศามณีวงศ์,เซ็งแทนหมอจริงๆ บางทีคนเราก็ชอบทำเรื่องง่ายให้เป็นเรื่องยาก,0,0,15
6,August August,เป็นกำลังใจให้คุณหมอค่ะ,0,0,5
103,ศาสตราจารย์ กบ,#เวรกรรมของหมอที่เจอคนแบบนี้,0,0,8
102,รุ่งโรจน์ ศรีสมยง,เป็นกำลังใจให้คุณหมอค่ะ,0,0,5
101,ยัยส์ ตัวร้ายยยยย,เป็นกำลังใจให้คุณหมอและ​ จนท.ทุกท่านค่ะ​,0,0,9
100,ฟิสิกส์แม่งเถื่อน,ต่อไปหมอจะกลัวจนไม่กล้าทำอะไรส่งมีดให้ญาติผ่าตัดเองแล้วกัน,0,0,16
99,พุด พุทธชาด,Kengkat Kaewdee รักษาจนรอดชีวิต แล้วก็มาร้องเรียน อะไรเนี้ยะ กุมขมับบบ,0,0,17
98,พัชรี ดวงไสว,ถ้าเหตุการณ์เป็นไปอย่างที่เล่ามา อีกหน่อยคงคนไทยคงเจอภาวะยากลำบากต่อการเข้าถึงแพทย์แน่ๆ,0,0,20
97,ปรีชา ไรซ์ หวังพักพิง,สงสารหมอชิบหาย ปกติงานก็หนักชิบหายอยู่ละ ยังต้องมาเจอพวกส้นตีนแบบนี้อีก,0,0,20
74,Tomo Fukuhara,เรื่องจริงมันเศร้าสุดๆใช่มั้ยคะ...เป็นกำลังใจให้คุณหมอทุกท่านคะ...,0,2,16
72,Thitiwan Siddhiteja,เป็นกำลังใจให้ทุกท่านค่ะ บางทีก็งงว่ายินยอมแล้วกลับมาฟ้องทำไม แต่มานึกๆดู คงมีพวกช่างยุ พูดให้ญาติกลับมารัองเรียนเพื่อเอาค่ารักษา,0,0,37
28,Mee IsMe,Nuttatinee Kotchawong,0,0,3
71,Thanakrit Sathiraphakhanan,2ทาง ถ้าหมอผิดเองจริง ก็คงไม่มีใครอยากรับค่าใช้จ่าย หรือมีประกันก็ยังเสียเครดิตไม่มีใครรับทำงาน,0,0,30
47,Pongrudee Phueaknual,Dalilaa Kai MarayaMonthira MarayaParada Pongchomporn Wiraporn Pchp Jay JirawatSamildd Smile,0,0,19
25,Kookkae Eaksorakul,ฟ้องได้หรอคะ เมื่อญาติเซ็นยินยอม ,0,0,9
45,Pinky Tiny,แหม..เชื่อสนิท และรู้สึกสลดหดหู่ค่ะ,0,0,11
44,Pawarisa Terbtothakun,Jeno Jeno,0,0,3
43,Pattama Phosawaj,คนไข้ปฏิเสธการรักษาได้ ไม่มีความผิดหมอปฏิเสธการรักษาไม่ได้ มีความผิด ความเท่าเทียมไม่มีจริง,0,0,19
42,Pathitta Ratee,เป็นกำลังใจให้คุณหมอและบุคลากรทางการแพทย์ทุกคนนะคะ,0,2,9
41,Panupong Thimasarn,อยากเรียกร้องค่าชดเชยทำไมไม่ทำประกันชีวิตไว้น่ะ,0,0,9
40,Odd Nsn,Nop Napadon ตามเวชระเบียนเด้อ เห็นแล้วอนาถแทนหมอ,0,0,14
39,NutYi Udomrasami,ค่อยไปคุยกัน,0,0,4
38,NooNim Naja,เฮ้อ!!.,0,0,2
26,Leo Cheetah,ขอเป็นกำลังใจให้คุณหมอทุกท่านนะครับ รวมทั้งพยาบาลและบุคคลากรทุกท่าน มีกำลังใจในการทำงานนะครับ ,0,0,24
36,Njoy Wimolpun,ถ้าเจอเคสแบบนี้อยากให้อัดคลิปการอธิบายผลดีผลเสียข้อบ่งชี้ในการรักษาท่าทีของผู้ป่วยและญาติใว้ให้ครบ ถ้าไม่อยากรักษาตามแผนการักษาของแพทย์ก็ไม่รักษา ไม่รบเร้าเก็บทรัพยากรใว้รักษาคนที่พร้อมรับการรักษาดีกว่า อาจจะดูใจร้าย แต่เห็นผลที่ตามมาแล้วเศร้ามาก เสียท... ดูเพิ่มเติม,0,0,68
35,Ning Ning Dontrihansa,คุณหมอคะ,0,0,2
34,Nilnart Nantathatree,สู้สู้นะเพื่อน,0,0,4
33,Nawarat Poome,ทนายตัวดีทำคดีเอา%,0,0,6
32,Nattapat Poolsawad Ruangsri,อ่านจบเรื่องแรก เอ้า!!อ่านจบเรื่องที่2 เอ้า!!!!!!ทำงานเหนื่อยกายพอแล้ว ... ดูเพิ่มเติม,0,0,22
31,NattaMay Kamkerd,Poommin Yodsurang,0,0,3
30,Naphaphon Nakhawong,แหม...ก็หัวหมอกันขนาดนี้...ทำไมไม่รักษาเองเลยล่ะจ้ะ..หุๆ,0,0,18
29,Nai Sodapak,เพราะมาตรา 41 นี่แหละจึงเป็นที่มาของการร้องเรียน,0,0,11
48,Prince Suchitt,เราป็นกำลังใจให้นะเพื่อน,0,0,6
24,Kla Wang,ฟ้องก็น่าจะไม่ชนะนะคะ ในเมื่อเซ็นต์ยินยอมแล้ว หัวหมอนักก็อยากให้รพ.ฟ้องกลับด้วยค่ะ,0,0,22
50,Rungthip Unsilp,ฉีดยาให้แม่งตายๆไปกูก็แค่บ่นๆเหมือนกัน,0,0,13
17,Dhira Songpra,แล้วมี มาตราไหนคุ้มครองกลุ่มผู้ให้การรักษาบ้างไหมคะ  คนเรานี่ก็แปลกขึ้นเรื่อยๆนะคะ ใช่ค่ะ ชีวิตคนสำคัญและมีคุณค่า  เชื่อว่า หมอที่ดีทุกๆ ท่าน ย่อมบริสุทธิ์ใจรักษาเพื่อให้คนไข้หาย กลับบ้านใช้ชีวิตได้ปกติ ,0,0,50
70,Thaksi-on Thong-jumrat,อ่านทุกบรรทัดด้วยความลุ้นและอินหนักมากตอนแรกสงสารคุณยายแต่ตอนหลังสงสารคุณหมอท่านมากๆค่ะ ส่วนวัยรุ่นนั้นเเฉยๆเพราะกรงกรรมที่เค้าก่อ เพราะไม่ชอบเสียงดังของพวกแว้นค่ะ. พอคุณหมอหนุ่มสรุปว่าเป็นเรื่องเล่าจากโคลงเรื่องจริงก็ยังยืนยันว่าสงสารคุณหมอมากท่านช่วย... ดูเพิ่มเติม,0,0,68
69,Tanatporn Vimonpatranon,Khemmapatchrapa Yongchairat,0,0,3
68,Tan Gustavsson,เป็นกำลังใจให้คุณหมอและบุคลากรทุกท่านครับ,0,0,8
67,Svdn Taowat,น่าจะปล่อยให้ตายๆไปซะ ตระกูลแบบนี้สมควรโดนแบนเรื่องสิทธิบัตรทอง,0,0,16
66,Sutadta Suksin,บางทีกะควรปล่อยให้ตายไปซะ จะโหดไปไหมหมอ?,0,0,15
65,Suriphorn Hnuphrom,อีกหนึ่งกำลังใจให้ทีมคุณหมอค่ะ..,0,0,8
64,Supharak Siri,ทำคุณบูชาโทษ,0,0,1
63,Suphagitroengrote First,น่าจะมีใบยินยอม และสัญญาว่าจะไม่ฟ้อง กรณีตัดขาเพราะเบาหวานนะ แพทย์จะได้ทำการรักษาได้เต็มที่ โดยไม่ถูกร้องเรียน,0,1,31
60,Supakrit Tonna Su,Alec Chaisomboon,0,0,3
51,Sahathep Kannong,Alec Chaisomboon,0,0,3
59,Supakdee Jongsookklang Hohler,Warunya Kosinanon เราถึงบอกไงว่ามีอะไรให้ถามหมอคนที่รักษาเพราะแบบนี้ล่ะอีกอย่างตามกม.เขาไม่ให้ถ่ายรูปในรพ.น่ะ,0,0,31
1,Ant CoolTime,อาชีพแพทย์เรื่องจริงเศร้ายิ่งกว่านิยาย,0,0,6
57,Sirason Tovik,หนึ่งกำบังใจครับ  อาจารย์,0,0,6
18,Fuyuki Yuki,"กรณีนี้เดาว่าพอคนไข้รักษาเสร็จแล้วก็ไปเจอคนรู้จักพูดประมาณว่า ""ไปตัดทำไม มันมี... รักษาได้ ไม่ต้องตัด เนี่ย... ก็เป็นเหมือนกัน รักษาหาย นู่นนี่นั่น บลาบลาบลา""",0,0,50
19,Inferior Vena Cava,ผมอยากได้ยินฝั่งคนไข้เล่ามั้งครับ ที่ได้อ่านมา ถ้าเป็นผมก็ไม่อยากตัดขานะครับทำใจไม่ได้ ที่อ่านมาอยากได้ยินช่วงที่คนไข้เพ้ออ่าครับ แบบไม่อยากให้ขาหายไปเลย แต่เรื่องฟ้องอันนี้อีกเรื่องหนึ่ง,0,0,54
54,Seafoam Liz,ก็อวดเก่ง สมแล้ว,0,1,5
20,Jaja BVoravit,เป็นกำลังใจครับ,0,0,3
23,Kitiyarat Cullen,แล้วจะมีหนังสือให้เซ็นทำไม ญาติแค่อยากได้เงินสินะ,0,0,14
116,カアエサアード カイー ナラティプ,มีเคสนึงคุ้นมาก คุ้นมากจริงๆ,0,1,9
